Date,Daily Open,Daily High,Daily Low,Daily Close,Volume
2020-09-15 00:00:00-04:00,1001.0,1005.75,990.25,991.5,135852
2020-09-16 00:00:00-04:00,991.0,1013.75,985.0,1011.25,176360
2020-09-17 00:00:00-04:00,1011.5,1032.25,1005.0,1028.5,259968
2020-09-18 00:00:00-04:00,1028.0,1046.75,1027.25,1043.5,188266
2020-09-21 00:00:00-04:00,1041.0,1045.25,1020.5,1022.5,198261
2020-09-22 00:00:00-04:00,1020.25,1037.0,1013.25,1019.75,169336
2020-09-23 00:00:00-04:00,1020.5,1025.5,1011.0,1014.5,135269
2020-09-24 00:00:00-04:00,1012.5,1014.75,997.25,1000.0,175815
2020-09-25 00:00:00-04:00,999.0,1008.0,995.25,1002.5,115655
2020-09-28 00:00:00-04:00,1002.0,1007.5,991.5,996.25,117222
2020-09-29 00:00:00-04:00,994.0,997.75,985.75,993.0,120596
2020-09-30 00:00:00-04:00,992.25,1034.75,987.5,1023.5,220274
2020-10-01 00:00:00-04:00,1023.25,1035.0,1021.75,1023.5,141785
2020-10-02 00:00:00-04:00,1024.0,1028.0,1013.0,1020.75,136558
2020-10-05 00:00:00-04:00,1019.75,1025.5,1016.0,1021.5,112442
2020-10-06 00:00:00-04:00,1021.5,1053.75,1021.25,1044.0,212107
2020-10-07 00:00:00-04:00,1041.25,1059.75,1037.25,1051.0,236406
2020-10-08 00:00:00-04:00,1051.25,1069.0,1048.5,1050.0,239775
2020-10-09 00:00:00-04:00,1050.25,1079.75,1047.0,1065.5,264053
2020-10-12 00:00:00-04:00,1065.25,1073.5,1031.5,1033.75,262222
2020-10-13 00:00:00-04:00,1034.0,1046.0,1032.5,1044.0,171633
2020-10-14 00:00:00-04:00,1043.0,1059.75,1039.75,1056.25,161954
2020-10-15 00:00:00-04:00,1057.5,1064.25,1037.25,1062.25,158655
2020-10-16 00:00:00-04:00,1062.75,1070.75,1048.75,1050.0,138422
2020-10-19 00:00:00-04:00,1051.25,1058.25,1047.75,1054.25,117717
2020-10-20 00:00:00-04:00,1055.75,1065.75,1051.25,1064.0,120566
2020-10-21 00:00:00-04:00,1065.0,1077.0,1064.25,1072.0,127982
2020-10-22 00:00:00-04:00,1072.25,1085.25,1063.5,1073.75,149124
2020-10-23 00:00:00-04:00,1071.25,1088.5,1065.75,1083.75,173835
2020-10-26 00:00:00-04:00,1083.75,1089.75,1078.0,1087.75,111054
2020-10-27 00:00:00-04:00,1086.0,1094.0,1081.75,1082.25,111439
2020-10-28 00:00:00-04:00,1081.75,1081.75,1056.75,1057.25,100102
2020-10-29 00:00:00-04:00,1058.5,1062.25,1051.0,1051.75,63846
2020-10-30 00:00:00-04:00,1051.0,1062.25,1047.0,1056.5,12667
2020-11-02 00:00:00-05:00,1053.5,1053.5,1042.0,1050.75,3660
2020-11-03 00:00:00-05:00,1051.0,1068.5,1051.0,1059.0,2656
2020-11-04 00:00:00-05:00,1061.5,1081.5,1056.25,1079.0,1304
2020-11-05 00:00:00-05:00,1080.0,1111.25,1079.5,1101.75,2013
2020-11-06 00:00:00-05:00,1101.0,1107.5,1095.75,1098.5,1031
2020-11-09 00:00:00-05:00,1097.75,1113.25,1096.75,1105.0,808
2020-11-10 00:00:00-05:00,1106.75,1145.25,1102.25,1138.25,582
2020-11-11 00:00:00-05:00,1137.0,1150.25,1136.0,1143.25,489
2020-11-12 00:00:00-05:00,1136.25,1140.75,1132.25,1137.0,451
2020-11-13 00:00:00-05:00,1139.5,1145.0,1139.5,1141.5,118177
2020-11-16 00:00:00-05:00,1150.25,1155.25,1144.0,1153.5,93941
2020-11-17 00:00:00-05:00,1157.0,1178.25,1156.25,1169.75,148053
2020-11-18 00:00:00-05:00,1170.25,1189.75,1167.75,1175.75,165853
2020-11-19 00:00:00-05:00,1174.0,1181.25,1161.75,1177.5,130563
2020-11-20 00:00:00-05:00,1179.0,1196.75,1176.75,1181.0,149969
2020-11-23 00:00:00-05:00,1195.5,1200.0,1186.0,1191.5,113186
2020-11-24 00:00:00-05:00,1190.75,1194.0,1174.0,1191.25,126040
2020-11-25 00:00:00-05:00,1197.5,1198.5,1183.25,1184.0,85398
2020-11-27 00:00:00-05:00,1186.0,1194.0,1179.25,1191.75,49078
2020-11-30 00:00:00-05:00,1198.0,1199.0,1168.0,1168.5,127702
2020-12-01 00:00:00-05:00,1169.25,1176.0,1161.25,1162.0,109296
2020-12-02 00:00:00-05:00,1163.75,1164.0,1142.5,1153.0,134260
2020-12-03 00:00:00-05:00,1154.25,1170.75,1152.0,1168.25,93899
2020-12-04 00:00:00-05:00,1168.0,1172.5,1157.75,1163.0,98159
2020-12-07 00:00:00-05:00,1160.0,1169.0,1149.0,1158.5,165902
2020-12-08 00:00:00-05:00,1157.5,1160.25,1142.75,1145.75,176569
2020-12-09 00:00:00-05:00,1146.0,1160.75,1145.5,1158.5,121502
2020-12-10 00:00:00-05:00,1159.75,1178.0,1150.25,1152.75,202110
2020-12-11 00:00:00-05:00,1155.25,1162.75,1151.0,1160.5,129424
2020-12-14 00:00:00-05:00,1164.75,1173.0,1161.25,1169.5,101997
2020-12-15 00:00:00-05:00,1170.75,1185.75,1162.0,1184.25,128713
2020-12-16 00:00:00-05:00,1187.0,1195.0,1181.75,1183.75,122886
2020-12-17 00:00:00-05:00,1183.25,1203.0,1179.75,1201.25,125030
2020-12-18 00:00:00-05:00,1202.75,1224.75,1201.5,1220.0,110919
2020-12-21 00:00:00-05:00,1225.25,1244.0,1213.5,1243.25,129147
2020-12-22 00:00:00-05:00,1244.5,1252.25,1236.75,1247.25,102551
2020-12-23 00:00:00-05:00,1248.25,1266.75,1240.5,1258.75,93382
2020-12-24 00:00:00-05:00,1260.25,1274.25,1259.75,1263.5,41312
2020-12-28 00:00:00-05:00,1273.0,1279.5,1245.0,1255.25,56756
2020-12-29 00:00:00-05:00,1253.75,1298.75,1245.0,1295.5,43283
2020-12-30 00:00:00-05:00,1295.0,1308.25,1279.75,1303.75,24625
2020-12-31 00:00:00-05:00,1302.25,1321.5,1299.25,1315.25,3634
2021-01-04 00:00:00-05:00,1324.0,1349.75,1306.25,1316.5,2421
2021-01-05 00:00:00-05:00,1319.25,1373.5,1319.25,1350.0,1194
2021-01-06 00:00:00-05:00,1359.75,1376.25,1359.75,1365.25,880
2021-01-07 00:00:00-05:00,1368.0,1368.0,1347.0,1360.5,1097
2021-01-08 00:00:00-05:00,1366.5,1383.75,1366.0,1375.75,810
2021-01-11 00:00:00-05:00,1381.5,1384.5,1360.0,1374.5,365
2021-01-12 00:00:00-05:00,1377.25,1430.0,1367.5,1422.0,331
2021-01-13 00:00:00-05:00,1433.5,1438.25,1410.75,1411.0,242
2021-01-14 00:00:00-05:00,1413.0,1436.5,1413.0,1436.5,109224
2021-01-15 00:00:00-05:00,1432.25,1434.5,1413.5,1416.75,102084
2021-01-19 00:00:00-05:00,1419.0,1421.25,1383.25,1385.75,129335
2021-01-20 00:00:00-05:00,1384.5,1384.5,1352.0,1369.5,182300
2021-01-21 00:00:00-05:00,1369.0,1387.0,1365.5,1370.25,118977
2021-01-22 00:00:00-05:00,1367.0,1367.0,1305.25,1311.75,203991
